Exoplanet 2023A data
Column 1: Pressure in Pa
Column 2: Temperature in K
Column 3: Air density in kg/m^3
Column 4: Zonal wind component in m/s
Column 5: Merid. wind component in m/s
Column 6: Number density of N2 (10^22 molecules/m3)
Column 7: Number density of CO (10^22 molecules/m3)
Column 8: Number density of O2 (10^22 molecules/m3)
Column 9: Number density of H2 (10^22 molecules/m3)
Column 10: Number density of Ar (10^22 molecules/m3)
Column 11: Number density of H20 (10^22 molecules/m3)

70000	 295.00	 0.60473	 0.000	 0.000	 637.6231	 510.0985	 55.7920	 285.6552	 12.4974	 38.7820 
69962.9	 294.95	 0.60451	 0.001	 0.008	 637.3896	 509.9116	 55.7716	 285.5505	 12.4928	 38.7678 
69925.9	 294.90	 0.60429	 0.002	 0.016	 637.1561	 509.7248	 55.7512	 285.4459	 12.4883	 38.7536 
69888.8	 294.86	 0.60407	 0.004	 0.024	 636.9226	 509.5381	 55.7307	 285.3413	 12.4837	 38.7394 
69851.8	 294.81	 0.60385	 0.005	 0.032	 636.6892	 509.3514	 55.7103	 285.2368	 12.4791	 38.7252 
69814.8	 294.76	 0.60363	 0.006	 0.040	 636.4558	 509.1647	 55.6899	 285.1322	 12.4745	 38.7110 
69777.8	 294.71	 0.60341	 0.008	 0.049	 636.2225	 508.9780	 55.6695	 285.0277	 12.4700	 38.6968 
69740.8	 294.66	 0.60318	 0.009	 0.057	 635.9893	 508.7914	 55.6491	 284.9232	 12.4654	 38.6826 
69703.8	 294.61	 0.60296	 0.011	 0.066	 635.7560	 508.6048	 55.6287	 284.8187	 12.4608	 38.6684 
69666.8	 294.57	 0.60274	 0.013	 0.075	 635.5229	 508.4183	 55.6083	 284.7142	 12.4562	 38.6543 
69629.9	 294.52	 0.60252	 0.015	 0.084	 635.2898	 508.2318	 55.5879	 284.6098	 12.4517	 38.6401 
69592.9	 294.47	 0.60230	 0.017	 0.093	 635.0567	 508.0453	 55.5675	 284.5054	 12.4471	 38.6259 
69556	 294.42	 0.60208	 0.019	 0.102	 634.8237	 507.8589	 55.5471	 284.4010	 12.4425	 38.6117 
69519.1	 294.37	 0.60186	 0.021	 0.111	 634.5907	 507.6725	 55.5267	 284.2966	 12.4380	 38.5976 
69482.2	 294.33	 0.60164	 0.024	 0.120	 634.3577	 507.4862	 55.5063	 284.1923	 12.4334	 38.5834 
69445.3	 294.28	 0.60142	 0.026	 0.130	 634.1249	 507.2999	 55.4859	 284.0879	 12.4288	 38.5692 
69408.4	 294.23	 0.60120	 0.029	 0.140	 633.8920	 507.1136	 55.4656	 283.9836	 12.4243	 38.5551 
69371.6	 294.18	 0.60097	 0.032	 0.149	 633.6592	 506.9274	 55.4452	 283.8793	 12.4197	 38.5409 
69334.7	 294.13	 0.60075	 0.035	 0.159	 633.4265	 506.7412	 55.4248	 283.7751	 12.4152	 38.5267 
69297.9	 294.08	 0.60053	 0.038	 0.169	 633.1938	 506.5550	 55.4045	 283.6708	 12.4106	 38.5126 
